time,Open,High,Low,Close
,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
2026-03-27 13:10:00,52571.3515625,52632.44921875,52556.0,52615.6484375
2026-03-27 13:15:00,52617.1484375,52707.8984375,52603.25,52650.3984375
2026-03-27 13:20:00,52650.55078125,52668.0,52598.94921875,52652.3984375
2026-03-27 13:25:00,52652.80078125,52672.8984375,52595.6484375,52598.8984375
2026-03-27 13:30:00,52601.6484375,52601.6484375,52537.69921875,52569.80078125
2026-03-27 13:35:00,52566.94921875,52583.3515625,52528.3515625,52543.30078125
2026-03-27 13:40:00,52542.75,52590.8984375,52533.25,52545.75
2026-03-27 13:45:00,52546.1484375,52576.0,52498.25,52504.3515625
2026-03-27 13:50:00,52504.75,52555.75,52501.55078125,52523.8984375
2026-03-27 13:55:00,52526.19921875,52540.3984375,52491.0,52517.0
2026-03-27 14:00:00,52514.8984375,52555.25,52502.6484375,52509.19921875
2026-03-27 14:05:00,52508.19921875,52513.69921875,52444.44921875,52473.6015625
2026-03-27 14:10:00,52474.69921875,52514.6484375,52427.75,52504.6015625
2026-03-27 14:15:00,52502.94921875,52511.3515625,52439.25,52445.5
2026-03-27 14:20:00,52443.5,52471.69921875,52413.8984375,52427.80078125
2026-03-27 14:25:00,52428.6484375,52462.69921875,52404.0,52422.8515625
2026-03-27 14:30:00,52421.3984375,52425.80078125,52339.3984375,52352.1015625
2026-03-27 14:35:00,52355.3515625,52392.1484375,52280.5,52285.5
2026-03-27 14:40:00,52277.3984375,52346.6015625,52272.75,52306.19921875
2026-03-27 14:45:00,52304.8984375,52344.75,52293.6484375,52335.94921875
2026-03-27 14:50:00,52332.8515625,52369.94921875,52300.3515625,52322.6484375
2026-03-27 14:55:00,52320.55078125,52344.94921875,52278.0,52293.44921875
2026-03-27 15:00:00,52297.8515625,52319.8515625,52241.30078125,52272.8515625
2026-03-27 15:05:00,52269.75,52288.55078125,52238.1015625,52279.8984375
2026-03-27 15:10:00,52277.3984375,52332.1484375,52272.1484375,52309.3984375
2026-03-27 15:15:00,52308.55078125,52314.1015625,52253.25,52276.44921875
2026-03-27 15:20:00,52273.80078125,52291.25,52225.3515625,52232.69921875
2026-03-27 15:25:00,52234.1015625,52364.3515625,52220.8515625,52364.3515625
2026-03-30 09:15:00,51576.8984375,51576.8984375,50964.0,50973.1484375
2026-03-30 09:20:00,50971.94921875,51007.69921875,50916.8984375,50922.55078125
2026-03-30 09:25:00,50915.3984375,51143.0,50892.8984375,51082.55078125
2026-03-30 09:30:00,51085.1484375,51350.5,51079.6015625,51342.75
2026-03-30 09:35:00,51339.44921875,51360.19921875,51204.94921875,51214.5
2026-03-30 09:40:00,51213.30078125,51322.30078125,51166.1015625,51212.19921875
2026-03-30 09:45:00,51212.94921875,51272.75,51125.3515625,51133.3515625
2026-03-30 09:50:00,51127.75,51215.3984375,51065.05078125,51065.05078125
2026-03-30 09:55:00,51059.75,51111.44921875,51036.25,51088.3515625
2026-03-30 10:00:00,51087.05078125,51218.5,51056.8515625,51197.3515625
2026-03-30 10:05:00,51196.44921875,51197.0,51053.19921875,51071.0
2026-03-30 10:10:00,51069.1015625,51104.3984375,50993.19921875,51104.3984375
2026-03-30 10:15:00,51101.3984375,51117.44921875,50973.69921875,50981.30078125
2026-03-30 10:20:00,50982.6015625,51022.1015625,50953.3984375,51005.75
2026-03-30 10:25:00,51003.69921875,51057.1015625,50946.8984375,50948.94921875
2026-03-30 10:30:00,50950.80078125,50967.19921875,50913.55078125,50953.1484375
2026-03-30 10:35:00,50956.3515625,51029.8515625,50954.0,50986.3984375
2026-03-30 10:40:00,50993.94921875,51029.69921875,50916.75,50921.44921875
2026-03-30 10:45:00,50917.6484375,50972.8515625,50905.3515625,50953.30078125
2026-03-30 10:50:00,50957.5,50979.05078125,50867.1484375,50874.0
2026-03-30 10:55:00,50874.25,50958.1015625,50841.25,50842.55078125
2026-03-30 11:00:00,50841.94921875,50903.1484375,50837.55078125,50882.30078125
2026-03-30 11:05:00,50883.80078125,50897.5,50799.44921875,50799.44921875
2026-03-30 11:10:00,50797.80078125,50829.1484375,50768.0,50808.44921875
2026-03-30 11:15:00,50804.8515625,50819.80078125,50773.55078125,50803.8984375
2026-03-30 11:20:00,50801.25,50848.75,50776.44921875,50835.6484375
2026-03-30 11:25:00,50835.3984375,50854.25,50809.1484375,50819.94921875
2026-03-30 11:30:00,50818.25,50892.3984375,50787.3984375,50887.8984375
2026-03-30 11:35:00,50882.44921875,50935.30078125,50871.05078125,50886.6484375
2026-03-30 11:40:00,50881.55078125,50889.75,50797.55078125,50807.05078125
2026-03-30 11:45:00,50802.1015625,50808.25,50763.6484375,50785.8515625
2026-03-30 11:50:00,50783.80078125,50818.44921875,50747.25,50810.8984375
2026-03-30 11:55:00,50811.3984375,50847.1484375,50789.05078125,50812.3984375
2026-03-30 12:00:00,50816.1484375,50938.75,50806.5,50907.30078125
2026-03-30 12:05:00,50908.1484375,50973.5,50866.8984375,50908.6015625
2026-03-30 12:10:00,50907.80078125,50963.8515625,50896.8515625,50930.1484375
2026-03-30 12:15:00,50931.3984375,50943.25,50877.1015625,50916.55078125
2026-03-30 12:20:00,50918.05078125,51008.94921875,50840.94921875,50841.8984375
2026-03-30 12:25:00,50844.1484375,50869.19921875,50804.30078125,50830.19921875
2026-03-30 12:30:00,50833.69921875,50847.0,50800.8984375,50825.25
2026-03-30 12:35:00,50827.3984375,50913.5,50817.69921875,50904.44921875
2026-03-30 12:40:00,50904.94921875,50939.25,50883.75,50910.6484375
2026-03-30 12:45:00,50910.1484375,50926.44921875,50843.8515625,50843.8515625
2026-03-30 12:50:00,50851.0,50871.3515625,50779.25,50808.69921875
2026-03-30 12:55:00,50807.1484375,50809.25,50766.94921875,50795.44921875
2026-03-30 13:00:00,50792.3515625,50803.3515625,50743.30078125,50756.80078125
2026-03-30 13:05:00,50756.5,50817.75,50742.44921875,50771.1484375
2026-03-30 13:10:00,50771.6015625,50803.55078125,50733.19921875,50774.94921875
2026-03-30 13:15:00,50772.55078125,50811.19921875,50718.44921875,50741.25
2026-03-30 13:20:00,50740.8984375,50767.0,50718.75,50727.3984375
2026-03-30 13:25:00,50725.25,50731.69921875,50651.94921875,50694.80078125
2026-03-30 13:30:00,50693.1484375,50714.25,50658.6484375,50714.25
2026-03-30 13:35:00,50712.1015625,50741.6015625,50672.19921875,50714.55078125
2026-03-30 13:40:00,50714.3984375,50730.94921875,50649.30078125,50662.19921875
2026-03-30 13:45:00,50665.3984375,50669.69921875,50626.30078125,50631.25
2026-03-30 13:50:00,50632.30078125,50656.30078125,50611.0,50628.19921875
2026-03-30 13:55:00,50631.3515625,50674.94921875,50606.8984375,50611.6484375
2026-03-30 14:00:00,50610.30078125,50708.30078125,50596.3515625,50651.55078125
2026-03-30 14:05:00,50652.6484375,50695.94921875,50630.19921875,50645.44921875
2026-03-30 14:10:00,50642.1015625,50649.8515625,50600.3984375,50612.25
2026-03-30 14:15:00,50608.69921875,50621.80078125,50578.3984375,50594.44921875
2026-03-30 14:20:00,50593.44921875,50625.44921875,50456.8984375,50477.8515625
2026-03-30 14:25:00,50474.1484375,50510.3984375,50457.94921875,50466.1484375
2026-03-30 14:30:00,50464.6484375,50539.3515625,50442.75,50452.19921875
2026-03-30 14:35:00,50448.44921875,50465.0,50397.8984375,50436.1015625
2026-03-30 14:40:00,50435.80078125,50481.05078125,50422.25,50461.6484375
2026-03-30 14:45:00,50456.44921875,50492.94921875,50394.30078125,50428.5
2026-03-30 14:50:00,50428.8984375,50466.1484375,50364.1015625,50377.3984375
2026-03-30 14:55:00,50379.3984375,50407.0,50343.44921875,50365.69921875
2026-03-30 15:00:00,50367.8515625,50367.8515625,50110.1484375,50131.1484375
2026-03-30 15:05:00,50132.6015625,50253.6484375,50125.3515625,50244.80078125
2026-03-30 15:10:00,50243.0,50315.55078125,50211.05078125,50297.0
2026-03-30 15:15:00,50297.6484375,50333.30078125,50262.3984375,50297.6015625
2026-03-30 15:20:00,50296.8515625,50423.80078125,50285.30078125,50414.1015625
2026-03-30 15:25:00,50412.5,50443.6015625,50344.8984375,50403.3515625
2026-04-01 09:15:00,51441.69921875,51790.69921875,51441.69921875,51763.75
2026-04-01 09:20:00,51763.80078125,51800.30078125,51656.1015625,51742.55078125
2026-04-01 09:25:00,51750.94921875,51790.75,51742.55078125,51767.55078125
2026-04-01 09:30:00,51771.44921875,51806.1015625,51549.30078125,51576.6484375
2026-04-01 09:35:00,51574.69921875,51574.69921875,51440.5,51482.75
2026-04-01 09:40:00,51484.5,51580.6484375,51469.1484375,51528.3515625
2026-04-01 09:45:00,51530.5,51619.0,51484.5,51611.1015625
2026-04-01 09:50:00,51610.19921875,51668.75,51577.05078125,51607.1015625
2026-04-01 09:55:00,51607.6484375,51623.8984375,51558.6015625,51577.6015625
2026-04-01 10:00:00,51576.5,51648.8984375,51572.3984375,51627.6484375
2026-04-01 10:05:00,51627.55078125,51628.6484375,51506.3984375,51512.05078125
2026-04-01 10:10:00,51508.44921875,51509.6484375,51433.75,51451.94921875
2026-04-01 10:15:00,51452.55078125,51474.19921875,51403.30078125,51428.0
2026-04-01 10:20:00,51425.69921875,51431.6015625,51246.69921875,51251.30078125
2026-04-01 10:25:00,51251.6484375,51252.3984375,51133.55078125,51194.94921875
2026-04-01 10:30:00,51199.1484375,51271.30078125,51176.25,51196.8515625
2026-04-01 10:35:00,51195.8984375,51245.6015625,51194.6015625,51243.19921875
2026-04-01 10:40:00,51240.30078125,51252.25,51189.25,51242.30078125
2026-04-01 10:45:00,51243.1484375,51292.80078125,51230.05078125,51263.05078125
2026-04-01 10:50:00,51263.75,51280.0,51229.0,51236.19921875
2026-04-01 10:55:00,51238.6015625,51238.75,51167.3984375,51185.69921875
2026-04-01 11:00:00,51188.80078125,51201.75,51157.80078125,51188.3515625
2026-04-01 11:05:00,51190.44921875,51245.25,51150.6015625,51210.80078125
2026-04-01 11:10:00,51213.1484375,51271.94921875,51202.1484375,51226.1015625
2026-04-01 11:15:00,51225.19921875,51234.5,51181.69921875,51228.3515625
2026-04-01 11:20:00,51228.6015625,51349.5,51223.80078125,51341.8515625
2026-04-01 11:25:00,51343.1484375,51373.80078125,51298.0,51372.5
2026-04-01 11:30:00,51370.30078125,51452.30078125,51365.6484375,51412.6015625
2026-04-01 11:35:00,51409.0,51470.19921875,51377.5,51463.3515625
2026-04-01 11:40:00,51463.1484375,51487.5,51434.69921875,51455.25
2026-04-01 11:45:00,51454.3984375,51462.1484375,51305.80078125,51343.75
2026-04-01 11:50:00,51341.8984375,51383.55078125,51303.94921875,51313.55078125
2026-04-01 11:55:00,51310.19921875,51442.80078125,51303.55078125,51412.1484375
2026-04-01 12:00:00,51409.94921875,51619.3984375,51405.5,51606.80078125
2026-04-01 12:05:00,51601.8515625,51619.0,51556.3984375,51587.6015625
2026-04-01 12:10:00,51588.1484375,51662.25,51570.8515625,51644.55078125
2026-04-01 12:15:00,51644.44921875,51715.3984375,51631.05078125,51632.8984375
2026-04-01 12:20:00,51630.1015625,51650.30078125,51608.5,51612.3515625
2026-04-01 12:25:00,51612.25,51684.6015625,51600.1484375,51667.3984375
2026-04-01 12:30:00,51666.8515625,51722.25,51661.94921875,51667.80078125
2026-04-01 12:35:00,51665.05078125,51720.80078125,51657.94921875,51718.75
2026-04-01 12:40:00,51718.3984375,51763.1484375,51696.94921875,51717.6484375
2026-04-01 12:45:00,51719.8515625,51875.6015625,51714.6015625,51841.94921875
2026-04-01 12:50:00,51841.8515625,51870.44921875,51821.25,51853.3515625
2026-04-01 12:55:00,51853.30078125,51866.1015625,51824.55078125,51837.55078125
2026-04-01 13:00:00,51839.1015625,51936.69921875,51834.8984375,51921.6484375
2026-04-01 13:05:00,51923.69921875,51972.6015625,51923.05078125,51949.3515625
2026-04-01 13:10:00,51951.44921875,51977.8984375,51856.3984375,51975.69921875
2026-04-01 13:15:00,51977.6015625,52025.0,51869.6484375,51880.5
